1601957280000 ms,@bookwitter your welcome if you change your mind though let me know,1,1
1601943360000 ms,@davashmava  what hapenned?,1,1
1602011400000 ms,@DaveMinella Why aren't getting those things up and running? I wish I hadn't gotten rid of mine.,0,0
1601993160000 ms,@davebriggs Thank you  It was a good day.,1,1
1601990520000 ms,@bradUK It's *always* a namespace issue,1,1
1601946120000 ms,"\@BondGyrl No doubt""",0,0
1601989080000 ms,@BradOFarrell congrats on ur award.  That was a cute video!,1,1
1601999160000 ms,"\@DaveJMatthews dave- I am going to Bristow on 8/8.  My 50th show""",1,1
1601943240000 ms,"\@daugshouse yes""",1,1
1602002400000 ms,"\@DaveGorman think @jon_Bedford is aware""",1,1
1601952120000 ms,"\@Booballs luv your pic sweetie""",1,1
1601942760000 ms,"\@DaTruTopShotta www.youtube.com/Titomi15..WATCH THE VIDEOS""",1,1
1601968560000 ms,@BostonTweet - nothing for those of us under 21,1,1
1601979840000 ms,@Bptbtrfly ha. For once in my life.  We had cloudy skies though.,0,0
1601969040000 ms,@Botanicalls0088 that's sad,0,0
1601948640000 ms,"\@Bonita82 no""",0,0
1601965200000 ms,@Borriesaur thats ok i just got out of the shower lol. mine was also really good,1,1
1601945280000 ms,"\@bomseh *Sigh* I could teach you a technique that is helpful""",1,1
1601958720000 ms,@BoomKack ride on the twittchain and get the followers u derserve!  support us! we are all about positive energy!!!,0,1
1602021720000 ms,@David_N_Wilson What's the title? I love Stargate Atlantis. Or did when I was watching TV.,1,1
1601973000000 ms,@bowwow614 follow me,1,1
1601968800000 ms,@BostonWahlbergs I would love too but too bad ur butt is not around here,0,0
1601951040000 ms,@bonniesgang You may find the MLM Blueprint interesting as it agrees with your thoughts - even ignore the product we promote,1,1
1602019920000 ms,@DaveTheNinja shawn!!!,1,1
1602018240000 ms,@David_Henrie No you silly goose!,1,0
1601984040000 ms,@bradiewebbstack agreed  cake cake cake.,1,1
1601939160000 ms,@DatDudeSuccess that aint funny! That's sad  lol,0,0
1601954880000 ms,"\@bookishnerd A very stupid thing to do""",1,0
1601962320000 ms,"\@bopeepsheep It's ok""",1,1
1602007800000 ms,@daverosin OMG that is Horrible! Sorry guys!,0,0
1601954520000 ms,@bookieslayer naa...couldn't go back to sleep...I'd rather be tweetin' U,0,0
1601974200000 ms,@Bowwow614 yea its me,1,1
1601961120000 ms,@bootinswede its kind of hard to smile moving my sis from hospital to nursing home at 5PM today  not a good day,0,0
1601970360000 ms,"\@BoulderCoaching Will do""",1,1
1601938560000 ms,@Datboidr3w he has inspired me not 2 invest in pink panties and mi fav color iz pink,0,1
1602008880000 ms,@DaveSormillon Fashoo! We'll try out best to make it. We really wanna support you guys,0,1
1602016440000 ms,"\@david_bdml: luv U twttr hacer o es una pérdida de tiempo Ok""",1,1
1602017040000 ms,@David_Draiman  dude u need to update your pro =p it's june already... just kidding so u know,0,1
1601946840000 ms,"\@Bonedwarf Yeah""",1,1
1601998320000 ms,"\@brammofan would have loved that - too drunk for cake afterwards""",1,1
1602018000000 ms,@david_henrie http://twitpic.com/5ogwq - i love it,1,1
1602003360000 ms,@DaveMora Got to Level 3 but saw no point afterwards,0,0
1601996760000 ms,@brainmuffin a chimay clone? sign me up.,1,1
1601939520000 ms,@dathibodeau 12 p.m. today--IF they don't push it back again,1,1
1601985360000 ms,"\@bradiewebbstack hi bradie i like you  @shaundiviney @andyclemmesen""",1,1
1601982720000 ms,@bradhanks Thanks for the #followfriday  How's the &quot;interview video&quot; coming along?  Do you need a stand in?,1,1
1601974080000 ms,@bowwow614 what's going on shad?,1,1
1601942160000 ms,"\@BoltClock lol""",1,1
1602020040000 ms,"\@davetran did you do vox in that cover too?? multi talented as...the guitar is really good  hehe the JT cover is sickk""",1,1
1601956320000 ms,@Bookstorebabe21 hahaha oh noes my multiple characters-ing freaks you outs! Noes!,1,1
1601953200000 ms,@boogiebake amen to that brotha!,1,1
1602011760000 ms,@davemorin - you &amp; @cinevegas should talk... he had the same problem earlier but I don't think he had success with the Apple Genius,1,0
1602012600000 ms,"\@davewiner happy bday. love and health are great""",1,1
1601992200000 ms,@braininfusion That pic of Pat getting his psychic reading made me LOL! Awesome!,1,1
1602022440000 ms,"\@DavidalBarron I loved them yesterday 4 delivering my pkg early""",0,1
1601993040000 ms,@davebost I think I need your help kicking some client ass. THREE of our clients are still on IE6. Make them stop!!!!,0,0
1601974320000 ms,@bowwow614 yup it is me,1,1
1602022320000 ms,@davida_chanel That's my Journalism degree at work.,1,1
1601949360000 ms,@bonkersbonnie well you won't tell me anything so I can't tell ya can I.,0,0
1601936280000 ms,@dashandwill Good luck with tonight! Wish I could go on Sat  You guys are so farrrr,1,1
1602000240000 ms,@davelharrison I didn't think I'd anger the gods enough for them to inflict qmail on me...,1,0
1601976960000 ms,@Boyislost I don't think so,1,0
1601939880000 ms,@DatingTop Thanks. I'll check it out a little later.,1,1
1601963640000 ms,"\@boredwife i think you are being too meek""",1,0
1601985240000 ms,@bradiewebbstack haha. when yous planning on coming to perth next? dont tell shaun and andy...but your my favourite   xx,1,1
1602008160000 ms,@daveseah i was also disappointed in the element,1,0
1601951640000 ms,"\@BonzaiB Thank you for the retweets the other night""",1,1
1601987520000 ms,@bradjward last year's #heweb08 promoted back channel as well.  Even had it up on screens during meals and meetings.,0,1
1601944440000 ms,@dave_izzy ur grounded to,1,0
1602001320000 ms,@davedays yesss there is.. Monday june 8th apple is having WWDC (world wide dev. conference) where they are suppose to announce it it,1,1
1601950680000 ms,@BonnieJene  Well Mrs... your exactly the same... so that makes two of us honey,1,1
1601980200000 ms,@br00klynbetty its your friends families fault,1,0
1601960520000 ms,@BooshyBAD YALLL FEMALES  WANT JERKS.. N IM CURSED WIT BEIN A NICE GUY... UGHHH,0,0
1601984760000 ms,"\@bradiewebbstack Bradie. Please entertain me""",1,1
1601938920000 ms,@datdeal2803 where we at tonight? I'm trying to hang with my friend but she never wants to be seen in public with me *tear*,0,0
1602007440000 ms,@DaveRead thanks for the tip unfortunately all trains at Long Eaton go via Derby - 50 min delay,1,0
1601946960000 ms,@Bonelle Nah I got to do my work  what about you? xx,0,0
1602007680000 ms,@daverooney Please tell me that there's a good reason why I can't open links in tabs on the new AIB web interface? Really getting to me,1,1
1601963400000 ms,@boredercollie I am lost. Please help me find a good home.,1,1
1601971800000 ms,"\@Bowl_the_Bunny ha ha ha""",1,1
1601942040000 ms,"\@BoltClock I gotcha""",1,1
1602012120000 ms,@DaveVagasky I knew you were bummed that you had to share a hotel room with me. Your secret's out,1,1
1602019320000 ms,@DaveSpoon all 3GS were sold out...,0,0
1601967840000 ms,@BostonCourt we had to leave soon after unfortunately! But succeded in my goal of getting my friend interested in seeing more theater,0,1
1601964120000 ms,"\@Boris Wrong!  using delicious to the max""",1,0
1601953800000 ms,"\@BookbabeNYC There are plently of people that don't like Twilight""",1,1
1601958240000 ms,@BoomerangPR Hopefully uploading some of my work in the next few weeks after making some changes to my site. Thanks for your interest,1,1
1601980800000 ms,@Br33zyDaDon Never ever over til its over  if its meant to happen IT will happen. Only God knows LETS GO CAVS!,0,1
1601947680000 ms,@BonesFan021 Yeah that too.... Poor Caroline  She would NOT have been happy,0,0
1601942640000 ms,@datnguyen Very doubtful,1,0
1602006360000 ms,@DaveJMatthews concert tonight at fenwayyy! hopefully the rain stops,1,1
1601994120000 ms,@davecurrie Ive only been teaching since BP64 but I'm starting to get sick of learning it every 3 months.,0,0
1601954400000 ms,"\@bookieboo If you need any help with your show""",1,1
1602000960000 ms,@davedays :OOO shocking! I miss my 360... It got RRoD,0,0
1601963880000 ms,@Boriken   Now that u say that I miss guavate!!!,0,0
1601983920000 ms,@bradiewebbstack ;o not the jelly beans! my all time favourite. Share?,0,1
1602009360000 ms,@DaveTaylor 475.  Since you asked.,1,1
1601981400000 ms,@bradaus that's the first time I've ever seen your face!  haha!,1,1
1601941800000 ms,@bolliehoston i want too  wnna go halfs? ill have it on monday through to saturday and you can have it sunday...fair?  hehe,0,1
1601992080000 ms,@Brainfrieze I'm so glad you came up to say hello!,1,1
1601989440000 ms,@bradpowell Charity update: T-cell antibody study opened then closed  Radiation 4 now. In all we set our hearts 2 give thanks as God leads,1,1
1601978640000 ms,"\@bozeman20 I can say""",1,1
1601967720000 ms,"\@BostonBookGirl I am going to include the secret code word when I query you. Oh yes I am. And if it doesn't work""",0,1
1601954760000 ms,@BookishGirl Hank the Pug is rather attractive,1,1
1601983080000 ms,@bradhfh they only suck when they give you needles.  i was scared he was drugging me to take advantage of me alone in that big chair.,0,0
1601978520000 ms,@boywho8ramen I'm sorry to hear,0,0
