1602020280000 ms,@davewalker try typing in &quot;church of england&quot; and it responds &quot;4077 people&quot; which seems a bit high,1,1
1601957280000 ms,@bookwoman60 It is  Love it! Thank you &amp; sending warm wishes to you.,1,1
1601943360000 ms,@davcar11 yay. I've no excuses today!,1,1
1602011400000 ms,@davemn really? I already have 1-20.  are you at scottys again tonight?,0,0
1601993160000 ms,"\@davecandoit...but...but...I want to be happy""",1,0
1601986440000 ms,"\@bradiewebbstack sway sway bradie""",1,1
1601976120000 ms,@boycottlovee Haha. Everyone makes fun of me for my tiny jeans.  its not good when you wear 00 short super skinny jeans. Lol,1,0
1602007200000 ms,@davejmatthews YES!!! you are talking shit again!  HI DAVE!,1,0
1602007320000 ms,@daverandaII If you see him tell him I say hi,1,1
1601990520000 ms,@bradwellman I've never had it so I can't be much help there,0,0
1601946120000 ms,@bondibeachgirl great! just enjoying my coffee while the boys are out at footy training,1,1
1601989080000 ms,@BradOrlich Thanks for following me,1,1
1601999160000 ms,"\@DaveJMatthews Egominaical humans are destroying our Grace""",1,0
1601943240000 ms,@Davaps Ohhh another wedding I'm missing  Oh and apparently I only get paid on 17th June so you'll need to send me a survival kit!,0,0
1602002400000 ms,@davegray hehe! thanx for the retweets.,1,1
1601952120000 ms,"\@boobookittifukk we have those too""",1,1
1601942760000 ms,@DaTruTopShotta year one. how come your night isnt right?,1,0
1601968560000 ms,"\@BostonTweet Had a great time at Boloco""",1,1
1601979840000 ms,@BpTheProducer without me,0,0
1601969040000 ms,@botdfmusic,1,1
1601948640000 ms,"\@bonitaaich lolll. my macs gona die soon""",1,1
1601965200000 ms,"\@BorrisTheBooger  Heyy""",1,1
1601945280000 ms,@bomshel have a safe trip...Diane,1,1
1601958720000 ms,@BoomKatt yeah ill help wow ur coming then going  when will you be leaving for good?,1,0
1602021720000 ms,@David_N_Wilson Yay!!,1,1
1601973000000 ms,@bowwow614 Hey! Is it going to be viewable in the UK this time?  It broke my heart when I couldn't play the last one  haha.,0,0
1601968800000 ms,@boswick82 Shits messing up my drive to happy hour,1,0
1601951040000 ms,@BonnieShae we love you! don't haz sad,0,0
1602019920000 ms,@davetran :O   where did he get his drivers licence? happy meal? hahaha,1,1
1602018240000 ms,@David_Henrie Poor you.,1,0
1601984040000 ms,@bradiewebbstack AHAHAHAHAHAHAHAHAHA bradie you are so cool  talking to your socks!! ily x how are you aye?? x,1,1
1601939160000 ms,@DateBrooklyn What were you referring to? LOL...this is the bad part about Twitter.,1,1
1601954880000 ms,"\@BookishRuth sorry to hear you have shingles.  Haven't had it""",0,0
1601962320000 ms,@bopeepsheep nah I love the original in vegas but miss grissum and sarah sidal,0,0
1602007800000 ms,@daverosin that's horrible!  are you guys still playing today?,1,0
1601954520000 ms,@BookingIt They are all very entertaining too.,1,1
1601974200000 ms,@bowwow614 You Did Good  Lets Hope They Let You Go  xx,1,1
1601961120000 ms,"\@bootnumlock  Fix is on the blog""",1,1
1601970360000 ms,@boulders how rude! i have your carc btw,1,0
1601938560000 ms,@DatBombChic hi  you do look bomb!,1,1
1602008880000 ms,@DaveSormillon I missed it man I got to the area to late,0,0
1602016440000 ms,"\@david_bosman oh que oui""",1,1
1602017040000 ms,@david_gough 1:16pm here,1,1
1601946840000 ms,@BonelessThurs Haha I also went 1/5 only got the Diaz fight right  #Strikeforce,1,1
1601998320000 ms,@brampitoyo - ZOMFG. @portlandpolice certainly must have a better use of taxpayer $ than incarcerating a #typenerd.?!?,1,1
1602018000000 ms,@David_Henrie i wish you would reply  i think you are amazing. i know you won't reply though. i can only hope you do. God Bless xo,0,0
1602003360000 ms,@DaveMora Thanks. Don't know if there's a Jamba Juice in Maywood; may have to hit up the fruta man,1,1
1601996760000 ms,"\@brainmusic Always laughing""",1,1
1601939520000 ms,@DaThirdEye @DaThirdEye,1,1
1601985360000 ms,@bradiewebbstack hope you reply to my myspace comment. my name display name is daisy if your wondering haha,1,1
1601982720000 ms,@bradhassett Welcome to London! Enjoy the weather while it lasts.,1,1
1601974080000 ms,@bowwow614 yayyy u comin to toronto!!!!!!!!! but not goin to concert  .. dont noe how to get to the place ur goin to (((,0,0
1601942160000 ms,@Bolthousevanna ciao vanna!!!!  &quot;happy echelon day&quot;,1,1
1602020040000 ms,"\@davetran http://twitpic.com/6iu2a - Haha""",1,1
1601956320000 ms,@Bookstorebabe21 oh noes  I love you babe has fun at works tonight!,1,1
1601953200000 ms,"\@BoogieDownTwitt got an iPhone""",0,1
1602011760000 ms,@davemorin Good to know you are going--I will definitely try to make it out there now,1,1
1602012600000 ms,"\@davewiner Yes""",1,1
1601992200000 ms,"\@daveaisling Nooooo""",1,0
1602022440000 ms,@davidaldrich_wx Did you see the color of the sky and how it looks in Philly??  It is yellowish/orangeish/brownish looks scary!!  lol,1,0
1601993040000 ms,"\@davebriggs  looks like i'll be meeting you all only tomorrow as altho' family are trying to get me out the door""",0,0
1601974320000 ms,@bowwow614....ur making me SADDD  cuz ur down now im down too,0,0
1602022320000 ms,@DavidAFanBlast wtf?!!...that was not a freaking good tweet there...hmmph...thanks for the info,1,0
1601949360000 ms,@bonnaroonews Workers find body at #bonnaroo site during cleanup ^LS http://bit.ly/1aA3Ri &lt;-- sad ending to a good weekend,0,0
1601936280000 ms,@dashift my picture wont load on the b-sides page,1,0
1602000240000 ms,"\@davem05 even with full blown piglet flu i'd hazard a guess that i've more colour than stuey right now  and trust me""",0,0
1601976960000 ms,@Boyislost I'm good  Already been shopping. Trying to fix my mom's computer now...argh. How are u?,1,1
1601939880000 ms,@datkidpatrick lol I don't kno bout anything so I'm stuck here   I'm bout to jus buy drinks and get talkative,0,1
1601963640000 ms,@borgintraining I saw it and I liked it  Not bad :],0,1
1601985240000 ms,@bradiewebbstack hahaha my uncle does that coz my aunty is a whore who left her kids,1,0
1602008160000 ms,"\@daveseah Stop fussing""",1,0
1601951640000 ms,@Bonzi77 My brain is~,1,0
1601987520000 ms,@bradjward We looked for Twitter commentary while we were live-tweeting graduation at @ithacacollege and interacted with the chatterers.,1,1
1601944440000 ms,@Dave_MB Lucky! I want to go to Buddy's.  I want crazy garlicky salad in a wooden mesh bowl while sitting at an off level table.,0,0
1602001320000 ms,@davedebisschop  I think it is too.    Have a wonderful day!,0,1
1601950680000 ms,@BonnieJene Hope they find them soon.,0,1
1601980200000 ms,@br00klynbetty its your friends peoples fault,1,0
1601960520000 ms,@BOOSTA no prob I'm so glad you guys had a great time,1,1
1601984760000 ms,@bradiewebbstack Bradiee  may I ask why your picture is a cat?? haha ily xx,1,1
